# milliseconds,radio_intensity
0.00,-0.81
4.46,-0.91
8.92,-1.09
13.38,-1.00
17.83,-0.59
22.29,-0.82
26.75,-0.43
31.21,-0.68
35.67,-0.71
40.13,-0.27
44.59,-0.28
49.04,-0.05
53.50,-0.40
57.96,-0.06
62.42,-0.06
66.88,-0.14
71.34,0.00
75.79,-0.01
80.25,0.24
84.71,0.25
89.17,-0.04
93.63,0.33
98.09,0.24
102.55,0.15
107.00,-0.01
111.46,0.15
115.92,-0.06
120.38,0.19
124.84,0.34
129.30,0.36
133.76,-0.15
138.21,0.19
142.67,0.02
147.13,-0.18
151.59,-0.35
156.05,-0.47
160.51,-0.71
164.97,-0.82
169.42,-0.45
173.88,-0.59
178.34,-0.68
182.80,-1.16
187.26,-1.15
191.72,-0.62
196.17,-0.25
200.63,-0.31
205.09,-0.01
209.55,0.35
214.01,0.39
218.47,0.06
222.93,0.16
227.38,-0.30
231.84,-0.47
236.30,-0.44
240.76,-0.13
245.22,0.22
249.68,0.90
254.14,1.15
258.59,0.82
263.05,0.10
267.51,0.10
271.97,0.28
276.43,-0.05
280.89,0.43
285.35,0.36
289.80,0.61
294.26,0.24
298.72,-0.19
303.18,-0.95
307.64,-0.84
312.10,-1.22
316.55,-1.84
321.01,-1.01
325.47,-0.25
329.93,0.73
334.39,1.28
338.85,0.92
343.31,1.05
347.76,0.49
352.22,0.41
356.68,0.06
361.14,-0.02
365.60,0.55
370.06,0.71
374.52,1.04
378.97,1.68
383.43,1.67
387.89,2.07
392.35,2.53
396.81,2.49
401.27,2.70
405.73,3.33
410.18,3.18
414.64,3.79
419.10,3.34
423.56,3.45
428.02,2.81
432.48,2.67
436.93,2.27
441.39,1.75
445.85,1.76
450.31,1.16
454.77,1.14
459.23,1.00
463.69,0.64
468.14,0.32
472.60,0.32
477.06,0.37
481.52,0.17
485.98,0.29
490.44,0.77
494.90,1.14
499.35,1.58
503.81,2.05
508.27,2.33
512.73,3.02
517.19,3.48
521.65,3.84
526.11,4.41
530.56,4.91
535.02,5.44
539.48,6.34
543.94,6.59
548.40,7.20
552.86,8.12
557.31,8.26
561.77,9.25
566.23,10.02
570.69,10.48
575.15,11.06
579.61,12.45
584.07,13.32
588.52,13.67
592.98,14.18
597.44,14.47
601.90,14.60
606.36,14.96
610.82,15.04
615.28,15.16
619.73,14.76
624.19,15.40
628.65,14.88
633.11,14.75
637.57,14.20
642.03,14.36
646.49,13.34
650.94,12.35
655.40,11.72
659.86,11.04
664.32,10.82
668.78,10.25
673.24,9.63
677.69,8.98
682.15,8.92
686.61,8.46
691.07,8.44
695.53,8.96
699.99,8.96
704.45,9.26
708.90,9.49
713.36,9.34
717.82,9.47
722.28,8.98
726.74,9.07
731.20,9.01
735.66,9.39
740.11,10.20
744.57,10.70
749.03,11.48
753.49,11.73
757.95,11.71
